,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
0,Chara,56.91,118.26,45.28,82,100,4.83,1600202962,RU
1,Kapaa,22.08,-159.32,82.65,62,40,12.75,1600202938,US
2,Vaini,-21.2,-175.2,75.2,73,40,12.75,1600202925,TO
3,Butaritari,3.07,172.79,83.7,72,87,19.3,1600202964,KI
4,Huanta,-12.93,-74.25,75.2,25,40,10.29,1600202964,PE
5,Avarua,-21.21,-159.78,77.0,65,69,17.22,1600202964,CK
6,Thompson,55.74,-97.86,51.8,50,75,16.11,1600202951,CA
7,Darhan,49.49,105.92,40.21,86,23,3.33,1600202965,MN
8,Jardim,-21.48,-56.14,91.92,20,0,3.24,1600202818,BR
9,Miracema do Tocantins,-9.56,-48.4,94.08,18,6,5.73,1600202966,BR
10,Nemuro,43.32,145.57,64.58,83,100,12.62,1600202914,JP
11,Mattawa,46.74,-119.9,72.72,31,75,5.82,1600202966,US
12,Mar del Plata,-38.0,-57.56,62.6,33,20,17.22,1600202670,AR
13,Port Alfred,-33.59,26.89,59.86,77,99,14.61,1600202967,ZA
14,Chokurdakh,70.63,147.92,38.14,87,98,8.01,1600202935,RU
15,Hilo,19.73,-155.09,79.68,61,75,5.82,1600202968,US
16,Leh,34.17,77.58,51.22,40,0,4.23,1600202968,IN
17,Faanui,-16.48,-151.75,77.95,77,0,14.72,1600202968,PF
18,Punta Arenas,-53.15,-70.92,41.0,56,40,26.4,1600202969,CL
19,DeLand,29.03,-81.3,85.64,70,1,8.05,1600202893,US
20,Bambous Virieux,-20.34,57.76,65.16,82,75,12.75,1600202926,MU
21,Makkah al Mukarramah,21.43,39.83,87.19,60,14,4.47,1600202969,SA
22,Castro,-24.79,-50.01,63.48,70,69,7.4,1600202965,BR
23,Flower Mound,33.01,-97.1,86.16,62,75,11.41,1600202814,US
24,Rikitea,-23.12,-134.97,73.62,72,4,3.98,1600202914,PF
25,Ushuaia,-54.8,-68.3,37.4,69,40,28.86,1600202970,AR
26,Port Lincoln,-34.73,135.87,55.51,55,100,6.76,1600202971,AU
